Time(min)	Fluorescence
100.180180	104.950456
100.540541	105.297501
100.900901	105.644483
101.261261	105.991409
101.621622	106.338103
101.981982	106.682642
102.342342	107.026979
102.702703	107.371113
103.063063	107.715045
103.423423	108.058774
103.783784	108.402301
104.144144	108.745627
104.504505	109.088753
104.864865	109.431679
105.225225	109.774407
105.585586	110.116938
105.945946	110.459273
106.306306	110.801414
106.666667	111.143362
107.027027	111.485121
107.387387	111.826690
107.747748	112.168073
108.108108	112.509272
108.468468	112.850290
108.828829	113.191128
109.189189	113.531790
109.549550	113.872279
109.909910	114.212598
110.270270	114.552750
110.630631	114.892738
110.990991	115.232565
111.351351	115.572237
111.711712	115.911756
112.072072	116.251126
112.432432	116.590352
112.792793	116.929437
113.153153	117.268387
113.513514	117.607206
113.873874	117.945898
114.234234	118.284468
114.594595	118.622922
114.954955	118.961265
115.315315	119.299502
115.675676	119.637638
116.036036	119.975680
116.396396	120.313633
116.756757	120.651502
117.117117	120.989295
117.477477	121.327016
117.837838	121.664674
118.198198	122.002274
118.558559	122.339823
118.918919	122.677327
119.279279	123.014795
119.639640	123.352232
120.000000	123.689647
120.360360	124.027047
120.720721	124.361879
121.081081	124.695562
121.441441	125.029001
121.801802	125.362196
122.162162	125.695148
122.522523	126.027858
122.882883	126.360326
123.243243	126.692553
123.603604	127.024540
123.963964	127.356286
124.324324	127.687794
124.684685	128.019064
125.045045	128.350096
125.405405	128.680892
125.765766	129.011453
126.126126	129.341780
126.486486	129.671874
126.846847	130.001736
127.207207	130.331367
127.567568	130.660769
127.927928	130.989943
128.288288	131.318891
128.648649	131.647614
129.009009	131.976113
129.369369	132.304390
129.729730	132.632448
130.090090	132.960286
130.450450	133.287908
130.810811	133.615315
131.171171	133.942509
131.531532	134.269492
131.891892	134.596265
132.252252	134.922832
132.612613	135.249193
132.972973	135.575352
133.333333	135.901310
133.693694	136.227069
134.054054	136.552633
134.414414	136.878002
134.774775	137.203181
135.135135	137.528171
135.495495	137.852974
135.855856	138.177594
136.216216	138.502034
136.576577	138.826295
136.936937	139.150380
137.297297	139.474293
137.657658	139.798036
138.018018	140.121613
138.378378	140.445026
138.738739	140.768278
139.099099	141.091373
139.459459	141.413595
139.819820	141.734417
140.180180	142.054956
140.540541	142.375212
140.900901	142.695182
141.261261	143.014867
141.621622	143.334266
141.981982	143.653378
142.342342	143.972201
142.702703	144.290736
143.063063	144.608982
143.423423	144.926938
143.783784	145.244602
144.144144	145.561975
144.504505	145.879056
144.864865	146.195843
145.225225	146.512336
145.585586	146.828535
145.945946	147.144438
146.306306	147.460045
146.666667	147.775356
147.027027	148.090369
147.387387	148.405083
147.747748	148.719499
148.108108	149.033615
148.468468	149.347431
148.828829	149.660946
149.189189	149.974159
149.549550	150.287069
149.909910	150.599677
150.270270	150.911981
150.630631	151.223980
150.990991	151.535675
151.351351	151.847063
151.711712	152.158146
152.072072	152.468921
152.432432	152.779389
152.792793	153.089549
153.153153	153.399399
153.513514	153.708941
153.873874	154.018172
154.234234	154.327092
154.594595	154.635701
154.954955	154.943998
155.315315	155.251983
155.675676	155.559654
156.036036	155.867012
156.396396	156.174055
156.756757	156.480784
157.117117	156.787197
157.477477	157.093294
157.837838	157.399074
158.198198	157.704427
158.558559	158.009406
158.918919	158.314053
159.279279	158.618369
159.639640	158.922352
160.000000	159.226002
160.360360	159.529317
160.720721	159.832296
161.081081	160.134940
161.441441	160.437246
161.801802	160.739214
162.162162	161.040843
162.522523	161.342132
162.882883	161.643081
163.243243	161.943688
163.603604	162.243952
163.963964	162.543873
164.324324	162.843449
164.684685	163.142680
165.045045	163.441565
165.405405	163.740103
165.765766	164.038293
166.126126	164.336134
166.486486	164.633625
166.846847	164.930765
167.207207	165.227554
167.567568	165.523990
167.927928	165.820073
168.288288	166.115802
168.648649	166.411175
169.009009	166.706193
169.369369	167.000853
169.729730	167.295156
170.090090	167.589099
170.450450	167.882683
170.810811	168.175907
171.171171	168.468769
171.531532	168.761268
171.891892	169.053404
172.252252	169.345176
172.612613	169.636583
172.972973	169.927624
173.333333	170.218298
173.693694	170.508604
174.054054	170.798541
174.414414	171.088109
174.774775	171.377306
175.135135	171.666132
175.495495	171.954586
175.855856	172.242666
176.216216	172.530373
176.576577	172.817704
176.936937	173.104659
177.297297	173.393186
177.657658	173.682280
178.018018	173.971052
178.378378	174.259502
178.738739	174.547629
179.099099	174.835433
179.459459	175.122912
179.819820	175.410067
180.180180	175.696898
180.540541	175.983402
180.900901	176.269581
181.261261	176.555433
181.621622	176.840957
181.981982	177.126155
182.342342	177.411023
182.702703	177.695564
183.063063	177.979775
183.423423	178.263656
183.783784	178.547207
184.144144	178.830427
184.504505	179.113315
184.864865	179.395872
185.225225	179.678097
185.585586	179.959988
185.945946	180.241546
186.306306	180.522770
186.666667	180.803659
187.027027	181.084214
187.387387	181.364432
187.747748	181.644315
188.108108	181.923861
188.468468	182.203070
188.828829	182.481941
189.189189	182.760474
189.549550	183.038668
189.909910	183.316522
190.270270	183.594037
190.630631	183.871212
190.990991	184.148045
191.351351	184.424538
191.711712	184.700688
192.072072	184.976496
192.432432	185.251961
192.792793	185.527082
193.153153	185.801859
193.513514	186.076292
193.873874	186.350379
194.234234	186.624121
194.594595	186.897517
194.954955	187.170566
195.315315	187.443267
195.675676	187.715621
196.036036	187.987627
196.396396	188.259284
196.756757	188.530591
197.117117	188.801549
197.477477	189.072156
197.837838	189.342412
198.198198	189.612317
198.558559	189.881870
198.918919	190.151070
199.279279	190.419917
199.639640	190.688411
200.000000	190.956550
200.360360	191.224335
200.720721	191.491765
201.081081	191.758839
201.441441	192.025557
201.801802	192.291917
202.162162	192.557921
202.522523	192.823567
